kommune_kode,selvvurderet_helbred_pct,selvvurderet_helbred_ratio,mentalt_helbred_pct,mentalt_helbred_ratio,rygning_pct,rygning_ratio,alkohol_pct,alkohol_ratio,fysisk_aktivitet_pct,fysisk_aktivitet_ratio,kost_pct,kost_ratio,svaer_overvaegt_pct,svaer_overvaegt_ratio,ensomhed_pct,ensomhed_ratio,social_stoette_pct,social_stoette_ratio,selvvurderet_helbred_ref,mentalt_helbred_ref,rygning_ref,alkohol_ref,fysisk_aktivitet_ref,kost_ref,svaer_overvaegt_ref,ensomhed_ref,social_stoette_ref
730,81.0,98.7,17.3,92.08,10.9,96.05,13.0,110.59,56.0,91.83,23.8,77.25,23.9,77.12,10.5,102.85,4.2,123.89,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
740,81.8,99.67,13.1,121.6,8.8,118.98,12.4,115.94,49.3,104.31,18.0,102.14,18.2,101.27,8.4,128.56,6.0,86.72,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
741,81.5,99.31,13.0,122.53,10.4,100.67,17.4,82.62,59.1,87.01,14.3,128.57,19.0,97.0,8.5,127.05,3.9,133.42,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
746,84.3,102.72,11.9,133.86,8.7,120.34,13.1,109.74,49.3,104.31,15.6,117.85,17.9,102.96,9.2,117.38,4.1,126.91,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
751,84.0,102.35,18.2,87.52,8.3,126.14,14.6,98.47,43.4,118.49,15.2,120.96,12.6,146.27,11.1,97.29,5.4,96.36,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
756,81.5,99.31,13.7,116.27,10.5,99.71,12.3,116.88,54.8,93.84,22.5,81.71,22.2,83.02,9.1,118.67,5.9,88.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
760,81.7,99.55,11.2,142.23,12.3,85.12,14.6,98.47,56.8,90.54,22.4,82.08,21.6,85.33,9.0,119.99,4.8,108.4,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
766,82.2,100.16,13.5,118.0,10.5,99.71,14.2,101.24,56.4,91.18,22.7,80.99,23.6,78.1,8.1,133.33,5.9,88.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
773,80.2,97.72,12.0,132.74,13.2,79.32,11.3,127.23,63.6,80.86,29.1,63.18,23.6,78.1,11.6,93.1,4.3,121.01,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
779,80.2,97.72,15.5,102.77,10.7,97.85,14.2,101.24,53.8,95.59,25.2,72.96,24.4,75.54,12.1,89.25,6.2,83.92,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
